name,address,phone,website,rating,reviews_count,category,hours,price_range,google_maps_url,search_query,scraped_at,latitude,longitude
Trèsind Mumbai," Ground Floor Inspire BKC E, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051",089280 00058,https://www.tresind.com/mumbai,4.5,10154,Fine dining restaurant,,"·₹2,000+",https://www.google.com/maps/place/Yauatcha+Mumbai/data=!4m7!3m6!1s0x3be7c8e7f9f0767f:0x7416ff01ce7ad4b5!8m2!3d19.0609124!4d72.8629578!16s%2Fg%2F1pzqzn1lm!19sChIJf3bw-efI5zsRtdR6zgH_FnQ?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:22:45.993336,19.003245,72.6751407
The Bombay Canteen," Unit-1, Process House, S.B. Road, Kamala Mills, Near Radio Mirchi Office Lower, Parel, Mumbai, Maharashtra 400013",088808 02424,https://thebombaycanteen.com/,4.3,3164,Modern Indian restaurant,,"·₹2,000+",https://www.google.com/maps/place/The+Bombay+Canteen/data=!4m7!3m6!1s0x3be7ce8c350898ed:0x664c7200a24a00a9!8m2!3d19.003245!4d72.827576!16s%2Fg%2F11b75jff6j!19sChIJ7ZgINYzO5zsRqQBKogByTGY?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:22:54.106691,19.003245,72.6751407
Trèsind Mumbai," Ground Floor Inspire BKC E, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051",089280 00058,https://www.tresind.com/mumbai,4.5,2019,Fine dining restaurant,,"·₹2,000+",https://www.google.com/maps/place/Tr%C3%A8sind+Mumbai/data=!4m7!3m6!1s0x3be7c98c8d8c3247:0x13861a5b69cc7173!8m2!3d19.0635387!4d72.8576059!16s%2Fg%2F11f7tldq34!19sChIJRzKMjYzJ5zsRc3HMaVsahhM?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:23:01.771848,19.0635387,72.8576059
Glocal Andheri," Ground Floor, Morya Blue moon, B-57, New Link Rd, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400053",022 4942 2020,https://www.onlyatglocal.com/,4.2,4948,North Indian restaurant,,·₹₹₹,https://www.google.com/maps/place/Glocal+Andheri/data=!4m7!3m6!1s0x3be7b62349f603fb:0xbcfc0eb07d03d7ed!8m2!3d19.1379541!4d72.8328736!16s%2Fg%2F11cjhk2v2c!19sChIJ-wP2SSO25zsR7dcDfbAO_Lw?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:23:07.686253,19.1379541,72.8328736
Ziya Restaurant," The Oberoi, Mumbai, Nariman Point, Mumbai, Maharashtra 400021",022 6632 6210,https://www.oberoihotels.com/hotels-in-mumbai/restaurants/ziya?utm_source=GMBlisting&utm_medium=organic,4.3,4152,North Indian restaurant,,·₹₹₹₹,https://www.google.com/maps/place/Ziya+Restaurant/data=!4m7!3m6!1s0x3be7d1ef274902ed:0x9bd046edc1058823!8m2!3d18.9267987!4d72.8203461!16s%2Fg%2F124sxncs9!19sChIJ7QJJJ-_R5zsRI4gFwe1G0Js?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:23:13.873287,18.9267987,72.8203461
Tanatan Juhu - Kitchen & Bar," 462, AB Nair Rd, opposite Novotel, Juhu, Mumbai, Maharashtra 400049",022 6715 9225,https://tanatan.co/,4.5,3510,Punjabi restaurant,,·₹₹₹,https://www.google.com/maps/place/Tanatan+Juhu+-+Kitchen+%26+Bar/data=!4m7!3m6!1s0x3be7c9e80c5b51a5:0xcfab16ca1e300280!8m2!3d19.1092351!4d72.825512!16s%2Fg%2F11gdqtrlmz!19sChIJpVFbDOjJ5zsRgAIwHsoWq88?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:23:20.300216,19.1092351,72.825512
O Pedro - BKC," Jet Airways, 2, Godrej BKC, Plot No C-68, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051",075065 25554,https://www.opedromumbai.com/,4.3,1034,Goan restaurant,,·₹₹₹,https://www.google.com/maps/place/O+Pedro+-+BKC/data=!4m7!3m6!1s0x3be7c8c2c010b011:0xf8ee113451af419a!8m2!3d19.059363!4d72.864943!16s%2Fg%2F11f123t4tb!19sChIJEbAQwMLI5zsRmkGvUTQR7vg?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:23:26.718427,19.1092351,72.825512
Glocal Andheri," Ground Floor, Morya Blue moon, B-57, New Link Rd, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400053",,https://www.swiggy.com/city/mumbai/project-hum-bandra-west-bandra-west-rest622283?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder,4.6,6509,North Indian restaurant,,·₹400–800,https://www.google.com/maps/place/Citrus+-+Fine+Dining+Restaurant/data=!4m7!3m6!1s0x3be7c8443de96063:0x150d7b82b2fa0681!8m2!3d19.1092495!4d72.8737736!16s%2Fg%2F11byxfyfd2!19sChIJY2DpPUTI5zsRgQb6soJ7DRU?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:23:51.636973,19.003245,72.6751407
Nawab Saheb," The Westin, 2 & 3B, Lake, near Chinmayanand Ashram, Kailash Nagar, Mayur Nagar, Morarji Nagar, Powai, Mumbai, Maharashtra 400087",,https://bit.ly/MarriottOnWheelsRHI,4.7,7717,North Indian restaurant,,·₹₹₹,https://www.google.com/maps/place/Nawab+Saheb/data=!4m7!3m6!1s0x3be7b8005f95e93f:0xca157d53047d1614!8m2!3d19.134441!4d72.9015103!16s%2Fg%2F1q5btl6n2!19sChIJP-mVXwC45zsRFBZ9BFN9Fco?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:25:59.504237,19.134441,72.9015103
La Loca Maria," Fatima villa, 29th Rd, Bandra West, Mumbai, Maharashtra 400050",093244 04335,https://www.lalocamaria.in/,4.2,2042,Spanish restaurant,,"·₹2,000+",https://www.google.com/maps/place/La+Loca+Maria/data=!4m7!3m6!1s0x3be7c91da0342953:0x785236e16e55c891!8m2!3d19.0615086!4d72.8300866!16s%2Fg%2F11h4mv2by6!19sChIJUyk0oB3J5zsRkchVbuE2Ung?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:30:07.120579,19.0615086,72.8300866
"Bastian, Bandra"," Kamal Building, B/1, New, Linking Rd, next to Burger King, Bandra West, Mumbai, Maharashtra 400050",022 5033 3555,https://www.google.co.in/intl/en/about/products?tab=lh,4.4,,Seafood restaurant,,"·₹2,000+","https://www.google.com/maps/place/Bastian,+Bandra/data=!4m7!3m6!1s0x3be7c916b49b79c3:0x3a8677901bc45e4f!8m2!3d19.0635251!4d72.8348721!16s%2Fg%2F11cn5s7pzz!19sChIJw3mbtBbJ5zsRT17EG5B3hjo?authuser=0&hl=en&rclk=1",restaurants in Mumbai,2025-06-27T00:32:14.333912,19.0635251,72.8348721
Gulshan - E- Iran.," Crawford Market, M.R.A. Marg Corner of, Musafir Khana Rd, Near Crawford Market, Mumbai, Maharashtra 400001",022 2263 0503,https://gulshaneiran.com/,4.3,4,Mughlai restaurant,,·₹200–400,https://www.google.com/maps/place/Gulshan+-+E-+Iran./data=!4m7!3m6!1s0x3be7d1daffffffff:0x5876829719109811!8m2!3d18.9479187!4d72.8356145!16s%2Fg%2F1th1sj74!19sChIJ_____9rR5zsREZgQGZeCdlg?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:33:52.054342,18.9479187,72.8356145
The Table," Ground Floor, Kalapesi Trust Building, opposite Dhanraj Mahal, Apollo Bandar, Colaba, Mumbai, Maharashtra 400039",070451 11880,https://foodmatters.in/the-table/,5.0,2,Italian restaurant,,"·₹2,000+",https://www.google.com/maps/place/The+Table/data=!4m7!3m6!1s0x3be7d1c137810ea3:0x21384737f2ec91e2!8m2!3d18.924176!4d72.8330669!16s%2Fm%2F011l25f5!19sChIJow6BN8HR5zsR4pHs8jdHOCE?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:33:59.224544,18.924176,72.8330669
Mabruk - Mediterranean Restaurant," Sahara Star Domestic Airport, Navpada, Vile Parle East, Santacruz East, Mumbai, Maharashtra 400099",,https://www.saharastar.com/dining/mabruk-mediterranean-restaurant.html,4.4,457,Lebanese restaurant,,,https://www.google.com/maps/place/Mabruk+-+Mediterranean+Restaurant/data=!4m7!3m6!1s0x3be7c85af128c1fb:0x2cc538d0c7109b4d!8m2!3d19.0956939!4d72.8539524!16s%2Fg%2F11bzz1563y!19sChIJ-8Eo8VrI5zsRTZsQx9A4xSw?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:34:06.733598,19.0956939,72.8539524
"Copper Chimney - Authentic Indian Restaurant In Kalaghoda, Mumbai"," Ground Floor, Hari Chambers, Shahid Bhagat Singh Rd, Kala Ghoda, Fort, Mumbai, Maharashtra 400001",082918 50880,https://www.copperchimney.in/kalaghoda.php,4.5,4373,North Indian restaurant,,·₹₹₹,"https://www.google.com/maps/place/Copper+Chimney+-+Authentic+Indian+Restaurant+In+Kalaghoda,+Mumbai/data=!4m7!3m6!1s0x3be7d1c3938df6f5:0x15709152e6985785!8m2!3d18.9291785!4d72.8343298!16s%2Fg%2F1tdfg4vf!19sChIJ9faNk8PR5zsRhVeY5lKRcBU?authuser=0&hl=en&rclk=1",restaurants in Mumbai,2025-06-27T00:37:14.108209,18.9291785,72.8343298
Butterfly High," Unit no. 4, Ground Floor, Jet Airways Godrej BKC, G Block, next to MCA, Bandra Kurla Complex, Ban, Mumbai, Maharashtra 400051",,https://airmenus.in/ss/butterflyhighbkc/Dine-In,4.3,357,Modern Indian restaurant,,·₹₹₹,https://www.google.com/maps/place/Butterfly+High/data=!4m7!3m6!1s0x3be7c986213e3e5b:0x90f4caf243231a2c!8m2!3d19.0593718!4d72.8651976!16s%2Fg%2F11f62dd099!19sChIJWz4-IYbJ5zsRLBojQ_LK9JA?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:39:20.233594,19.0593718,72.8651976
